Learner Category,Learner Type,20th Percentile 13/14,40th Percentile 13/14,60th Percentile 13/14,80th Percentile 13/14,20th Percentile 14/15,40th Percentile 14/15,60th Percentile 14/15,80th Percentile 14/15
LLDD learner,All (excl. benefit learners),57,64,69,75,56,63,69,75
Advanced and Higher Apprenticeships,All (excl. benefit learners),90,92,94,95,90,92,93,95
Full Level 3+,All (excl. benefit learners),77,84,88,93,76,83,87,91
Access to HE,All (excl. benefit learners),88,90,91,93,88,90,92,94
Other Level 3,All (excl. benefit learners),76,88,91,93,75,75,75,89
Intermediate Apprenticeships,All (excl. benefit learners),89,92,93,95,89,91,93,95
Full Level 2,All (excl. benefit learners),80,87,91,93,79,86,90,93
Traineeships,All (excl. benefit learners),64,69,76,82,60,67,74,81
English & Maths,All (excl. benefit learners),71,76,80,85,71,75,79,85
ESOL,All (excl. benefit learners),61,67,71,76,60,64,69,72
Other provision below Full Level 2,All (excl. benefit learners),66,71,78,85,66,75,82,84
LLDD learner,Benefit learners,41,44,47,52,40,46,46,50
Advanced and Higher Apprenticeships,Benefit learners,70,82,86,95,71,75,82,86
Full Level 3+,Benefit learners,56,66,73,81,58,64,70,78
Access to HE,Benefit learners,83,86,89,92,81,85,88,92
Other Level 3,Benefit learners,62,65,71,80,68,68,68,82
Intermediate Apprenticeships,Benefit learners,70,79,90,94,73,82,89,93
Full Level 2,Benefit learners,53,59,63,68,51,59,64,68
Traineeships,Benefit learners,52,64,70,74,50,62,67,67
English & Maths,Benefit learners,44,52,55,62,45,50,56,62
ESOL,Benefit learners,50,55,58,65,47,52,56,60
Other provision below Full Level 2,Benefit learners,47,51,52,56,49,52,53,57
"Advanced and Higher Apprenticeships: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),84,89,90,92,85,88,91,93
"Advanced and Higher Apprenticeships: Arts, Media and Publishing",All (excl. benefit learners),80,85,88,92,74,86,95,95
"Advanced and Higher Apprenticeships: Business, Administration and Law",All (excl. benefit learners),91,94,95,96,92,93,95,96
"Advanced and Higher Apprenticeships: Construction, Planning and the Built Environment",All (excl. benefit learners),87,93,93,94,89,91,91,92
Advanced and Higher Apprenticeships: Education and Training,All (excl. benefit learners),89,94,96,98,90,93,95,97
Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,All (excl. benefit learners),90,92,94,96,88,91,94,96
"Advanced and Higher Apprenticeships: Health, Public Services and Care",All (excl. benefit learners),91,92,93,95,91,92,93,94
Advanced and Higher Apprenticeships: Information and Communication Technology,All (excl. benefit learners),88,90,92,94,89,91,92,94
"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",All (excl. benefit learners),79,85,91,93,79,85,91,91
Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,All (excl. benefit learners),85,91,93,93,87,91,93,94
Advanced and Higher Apprenticeships: Science and Mathematics,All (excl. benefit learners),90,90,90,100,94,94,94,100
"Full Level 3+: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),80,83,86,90,81,83,86,89
"Full Level 3+: Arts, Media and Publishing",All (excl. benefit learners),77,82,85,89,76,82,85,88
"Full Level 3+: Business, Administration and Law",All (excl. benefit learners),85,88,92,95,85,87,90,93
"Full Level 3+: Construction, Planning and the Built Environment",All (excl. benefit learners),74,79,84,91,76,79,83,89
Full Level 3+: Education and Training,All (excl. benefit learners),83,91,94,96,82,87,91,95
Full Level 3+: Engineering and Manufacturing Technologies,All (excl. benefit learners),79,83,90,94,75,83,90,93
